season,date,home,away,link,stats_link
2018-19,Friday 1st February,SD Huesca,Real Valladolid,https://www.skysports.com/football/sd-huesca-vs-real-valladolid/399517,https://www.skysports.com/football/sd-huesca-vs-real-valladolid/stats/399517
2018-19,Monday 28th January,Alaves,Rayo Vallecano,https://www.skysports.com/football/alaves-vs-rayo-vallecano/399504,https://www.skysports.com/football/alaves-vs-rayo-vallecano/stats/399504
2018-19,Sunday 27th January,Real Valladolid,Celta Vigo,https://www.skysports.com/football/real-valladolid-vs-celta-vigo/399511,https://www.skysports.com/football/real-valladolid-vs-celta-vigo/stats/399511
2018-19,Sunday 27th January,Girona,Barcelona,https://www.skysports.com/football/girona-vs-barcelona/399508,https://www.skysports.com/football/girona-vs-barcelona/stats/399508
2018-19,Sunday 27th January,Athletic Bilbao,Real Betis,https://www.skysports.com/football/athletic-bilbao-vs-real-betis/399505,https://www.skysports.com/football/athletic-bilbao-vs-real-betis/stats/399505
2018-19,Sunday 27th January,Real Sociedad,SD Huesca,https://www.skysports.com/football/real-sociedad-vs-sd-huesca/399510,https://www.skysports.com/football/real-sociedad-vs-sd-huesca/stats/399510
2018-19,Sunday 27th January,Espanyol,Real Madrid,https://www.skysports.com/football/espanyol-vs-real-madrid/399507,https://www.skysports.com/football/espanyol-vs-real-madrid/stats/399507
2018-19,Saturday 26th January,Sevilla,Levante,https://www.skysports.com/football/sevilla-vs-levante/399512,https://www.skysports.com/football/sevilla-vs-levante/stats/399512
2018-19,Saturday 26th January,Atletico Madrid,Getafe,https://www.skysports.com/football/atletico-madrid-vs-getafe/399506,https://www.skysports.com/football/atletico-madrid-vs-getafe/stats/399506
2018-19,Saturday 26th January,Leganes,Eibar,https://www.skysports.com/football/leganes-vs-eibar/399509,https://www.skysports.com/football/leganes-vs-eibar/stats/399509
2018-19,Saturday 26th January,Valencia,Villarreal,https://www.skysports.com/football/valencia-vs-villarreal/399513,https://www.skysports.com/football/valencia-vs-villarreal/stats/399513
2018-19,Monday 21st January,Eibar,Espanyol,https://www.skysports.com/football/eibar-vs-espanyol/399496,https://www.skysports.com/football/eibar-vs-espanyol/stats/399496
2018-19,Sunday 20th January,Real Betis,Girona,https://www.skysports.com/football/real-betis-vs-girona/399501,https://www.skysports.com/football/real-betis-vs-girona/stats/399501
2018-19,Sunday 20th January,Villarreal,Athletic Bilbao,https://www.skysports.com/football/villarreal-vs-athletic-bilbao/399503,https://www.skysports.com/football/villarreal-vs-athletic-bilbao/stats/399503
2018-19,Sunday 20th January,Levante,Real Valladolid,https://www.skysports.com/football/levante-vs-real-valladolid/399499,https://www.skysports.com/football/levante-vs-real-valladolid/stats/399499
2018-19,Sunday 20th January,Rayo Vallecano,Real Sociedad,https://www.skysports.com/football/rayo-vallecano-vs-real-sociedad/399500,https://www.skysports.com/football/rayo-vallecano-vs-real-sociedad/stats/399500
2018-19,Sunday 20th January,Barcelona,Leganes,https://www.skysports.com/football/barcelona-vs-leganes/399494,https://www.skysports.com/football/barcelona-vs-leganes/stats/399494
2018-19,Saturday 19th January,Real Madrid,Sevilla,https://www.skysports.com/football/real-madrid-vs-sevilla/399502,https://www.skysports.com/football/real-madrid-vs-sevilla/stats/399502
2018-19,Saturday 19th January,SD Huesca,Atletico Madrid,https://www.skysports.com/football/sd-huesca-vs-atletico-madrid/399498,https://www.skysports.com/football/sd-huesca-vs-atletico-madrid/stats/399498
2018-19,Saturday 19th January,Celta Vigo,Valencia,https://www.skysports.com/football/celta-vigo-vs-valencia/399495,https://www.skysports.com/football/celta-vigo-vs-valencia/stats/399495
2018-19,Friday 18th January,Getafe,Alaves,https://www.skysports.com/football/getafe-vs-alaves/399497,https://www.skysports.com/football/getafe-vs-alaves/stats/399497
2018-19,Monday 14th January,Real Sociedad,Espanyol,https://www.skysports.com/football/real-sociedad-vs-espanyol/399491,https://www.skysports.com/football/real-sociedad-vs-espanyol/stats/399491
2018-19,Sunday 13th January,Atletico Madrid,Levante,https://www.skysports.com/football/atletico-madrid-vs-levante/399485,https://www.skysports.com/football/atletico-madrid-vs-levante/stats/399485
2018-19,Sunday 13th January,Athletic Bilbao,Sevilla,https://www.skysports.com/football/athletic-bilbao-vs-sevilla/399484,https://www.skysports.com/football/athletic-bilbao-vs-sevilla/stats/399484
2018-19,Sunday 13th January,Barcelona,Eibar,https://www.skysports.com/football/barcelona-vs-eibar/399486,https://www.skysports.com/football/barcelona-vs-eibar/stats/399486
2018-19,Sunday 13th January,Real Betis,Real Madrid,https://www.skysports.com/football/real-betis-vs-real-madrid/399490,https://www.skysports.com/football/real-betis-vs-real-madrid/stats/399490
2018-19,Saturday 12th January,Leganes,SD Huesca,https://www.skysports.com/football/leganes-vs-sd-huesca/399488,https://www.skysports.com/football/leganes-vs-sd-huesca/stats/399488
2018-19,Saturday 12th January,Valencia,Real Valladolid,https://www.skysports.com/football/valencia-vs-real-valladolid/399492,https://www.skysports.com/football/valencia-vs-real-valladolid/stats/399492
2018-19,Saturday 12th January,Girona,Alaves,https://www.skysports.com/football/girona-vs-alaves/399487,https://www.skysports.com/football/girona-vs-alaves/stats/399487
2018-19,Saturday 12th January,Villarreal,Getafe,https://www.skysports.com/football/villarreal-vs-getafe/399493,https://www.skysports.com/football/villarreal-vs-getafe/stats/399493
