date,season,fulltime_result,is_home,team,team_fulltime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_fouls_committed,team_xg,opponent_fulltime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_fouls_committed,opponent_xg,fd_team_fulltime_goals,fd_team_win_bet365_probs,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_clear_cut_chances,fd_team_xg,fd_opponent_fulltime_goals,fd_opponent_win_bet365_probs,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_clear_cut_chances,fd_opponent_xg
2017-10-16,2017_2018,2,0,Celta Vigo,3,0.35,1954,64,16,9,85,2,5,1,9,1.8,0,0.27,1854,52,11,1,85,1,3,0,11,2.1,-1,-0.23,5,3,3,0,1.0999999999999999,0,0.45000000000000007,3,-2,6,0,0.0
2017-10-21,2017_2018,0,0,Alaves,2,0.52,1915,36,8,3,75,5,4,3,18,0.7,3,0.14,1887,58,13,6,87,2,7,5,11,0.8,1,-0.2,0,0,2,5,1.5000000000000002,-1,-0.12,3,0,3,-2,0.5
2017-10-21,2017_2018,1,0,Getafe,1,0.36,1868,31,8,3,67,0,4,3,23,0.8,0,0.27,1869,41,13,3,68,1,4,0,13,0.5,0,0.20999999999999996,-2,0,0,-1,-0.30000000000000004,0,0.29,0,3,0,0,-0.20000000000000007
2017-10-22,2017_2018,0,0,Athletic Bilbao,1,0.38,2016,41,13,2,68,1,6,1,18,0.7,2,0.27,1881,45,19,9,67,3,2,2,21,1.1,-1,-0.15000000000000002,-3,-4,-3,-4,-1.0000000000000002,2,-0.19999999999999996,12,6,6,3,1.8000000000000003
2017-10-22,2017_2018,0,0,Eibar,0,0.66,1909,55,12,3,77,0,10,5,9,0.3,2,0.03,2392,69,16,6,84,2,7,5,8,1.4,0,-0.22,3,2,-1,0,0.19999999999999996,0,0.05,-7,-2,-4,-3,-0.7999999999999998
2017-10-22,2017_2018,0,0,Las Palmas,2,0.55,1836,59,24,11,86,3,14,2,13,0.9,2,0.12,2026,48,10,3,79,3,1,2,20,2.7,2,-0.41000000000000003,13,10,2,2,1.4000000000000001,-1,0.10999999999999999,-2,-3,-1,0,-1.1
2017-10-23,2017_2018,2,0,Girona,1,0.42,1807,52,26,5,81,1,8,3,12,1.8,0,0.22,1860,44,8,2,71,1,1,1,11,2.4,-2,-0.19,17,0,9,-1,1.0,-2,0.15999999999999998,-7,-7,2,-2,-1.6999999999999997
2017-10-23,2017_2018,1,0,Espanyol,0,0.41,1952,58,21,6,77,2,9,5,9,0.5,4,0.19,2028,55,18,6,85,2,12,2,9,1.3,0,-0.5,13,3,5,2,2.0,2,-0.05000000000000002,0,0,-3,1,0.5999999999999999
2017-10-28,2017_2018,2,0,Valencia,4,0.14,2032,52,18,8,82,3,7,0,15,1.0,0,0.53,1915,31,7,3,74,1,5,7,9,0.9,-2,-0.12,5,-1,2,-1,0.5000000000000002,-2,0.06,-1,0,-1,-4,-1.5000000000000002
2017-10-28,2017_2018,2,0,Barcelona,2,0.11,2335,65,12,4,89,2,4,2,10,2.7,0,0.54,2005,61,7,1,77,1,3,2,16,1.1,1,-0.24000000000000002,-3,-3,0,0,0.5,-1,0.09000000000000002,-6,-1,0,0,-0.5
