is_home,team_fulltime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_fouls_committed,team_xg,opponent_fulltime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_fouls_committed,opponent_xg,fd_team_fulltime_goals,fd_team_win_bet365_probs,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_clear_cut_chances,fd_team_xg,fd_opponent_fulltime_goals,fd_opponent_win_bet365_probs,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_clear_cut_chances,fd_opponent_xg,fulltime_result
0.0,0,0.31,2038,62,14,1,80,1,4,2,12,1.3,1,0.32,1967,44,11,3,72,0,4,0,14,1.2,-3,0.14,0,-2,3,0,-0.9,0,-0.06,5,0,2,0,0.3,2
0.0,0,0.56,1862,37,15,5,74,3,6,2,19,1.3,1,0.11,2029,41,10,4,85,1,0,1,12,2.9,0,-0.34,6,3,2,2,1.5000000000000002,0,0.42000000000000004,-1,-1,0,-1,-0.29999999999999993,0
0.0,4,0.07,2343,50,11,5,86,2,3,5,13,2.1,3,0.58,1885,74,16,9,89,1,1,1,12,0.4,1,0.09,-5,-3,-2,0,-0.5,-2,-0.28,7,4,2,-2,0.30000000000000004,2
0.0,1,0.41,2007,62,3,2,84,1,2,3,7,1.5,2,0.19,1975,49,15,6,85,0,7,5,14,1.7,-1,-0.25,-7,-3,-4,-1,-1.7,2,0.21000000000000002,6,1,2,-1,0.20000000000000007,2
0.0,0,0.54,1829,57,9,2,73,0,2,6,16,1.4,0,0.15,1946,66,10,3,76,1,9,0,12,1.8,0,0.2,-8,0,-5,-2,-1.1,-2,0.10999999999999999,-3,-1,0,-1,-0.7000000000000001,1
0.0,1,0.45,1940,70,15,4,81,3,8,2,11,0.6,2,0.2,2034,50,7,5,73,1,2,3,12,1.3,1,-0.28,5,1,5,2,0.9,1,-0.02999999999999997,-1,2,-4,-1,0.19999999999999996,1
0.0,1,0.41,1858,41,16,4,72,0,4,0,16,1.1,1,0.22,1834,38,6,3,80,3,1,1,11,1.0,1,0.22000000000000003,1,-1,2,-3,-0.9000000000000001,0,0.25999999999999995,-6,1,-4,1,-0.09999999999999987,1
0.0,2,0.66,1795,58,20,6,77,2,3,2,19,0.5,1,0.05,2176,53,9,4,83,3,2,5,13,2.8,2,-0.020000000000000018,17,5,9,2,2.5999999999999996,0,-0.13,2,1,-2,-1,-0.10000000000000009,0
0.0,0,0.4,1946,54,9,0,75,2,8,0,18,1.1,2,0.27,1923,53,8,4,70,1,6,1,14,0.5,-1,0.020000000000000018,-2,-3,1,2,0.6,0,0.019999999999999962,-2,-2,-1,-2,0.0,0
0.0,2,0.53,1887,49,17,6,71,2,6,1,17,0.6,3,0.12,2074,45,12,7,73,0,2,3,14,1.5,1,0.13,10,3,1,-1,2.7,3,0.04999999999999999,-2,6,-6,-1,0.4,1
0.0,3,0.47,1932,43,11,6,64,1,1,2,20,0.1,1,0.2,1894,35,7,2,67,1,4,0,15,0.9,1,-0.14999999999999997,3,2,0,0,-1.0,-1,0.22000000000000003,-10,-4,-1,-1,-3.3,1
0.0,1,0.35,2029,43,7,1,66,3,3,3,15,0.4,0,0.28,1870,56,11,2,80,1,4,2,7,2.5,-1,-0.12,0,-4,4,2,-0.09999999999999987,-1,-0.21999999999999997,5,-1,4,0,-0.09999999999999998,0
