Div,Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time
primera,1999-12-04,Barcelona,Oviedo,3.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-04,Real Madrid,Zaragoza,0.0,3.0,A,,,,,,,,,,,,,
primera,1999-12-04,Valencia,Sevilla,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-05,Alaves,Mallorca,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-05,Betis,Espanol,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-05,La Coruna,Vallecano,3.0,1.0,H,,,,,,,,,,,,,
primera,1999-12-05,Malaga,Ath Madrid,1.0,2.0,A,,,,,,,,,,,,,
primera,1999-12-05,Numancia,Celta,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-05,Valladolid,Santander,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-08,Alaves,Santander,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-11,Sevilla,Barcelona,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-12-12,Alaves,Betis,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-12,Ath Madrid,Valencia,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-12-12,Celta,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-12,Espanol,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-12,Mallorca,Oviedo,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-12-12,Santander,Real Madrid,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-12-12,Sociedad,La Coruna,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-12-12,Vallecano,Malaga,2.0,1.0,H,,,,,,,,,,,,,
primera,1999-12-12,Zaragoza,Numancia,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-12-18,La Coruna,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-12-18,Real Madrid,Espanol,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-12-18,Valladolid,Alaves,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-12-19,Ath Bilbao,Zaragoza,2.0,2.0,D,,,,,,,,,,,,,
primera,1999-12-19,Barcelona,Ath Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-12-19,Betis,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-12-19,Malaga,Sociedad,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-12-19,Numancia,Santander,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-12-19,Oviedo,Sevilla,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-12-19,Valencia,Vallecano,1.0,0.0,H,,,,,,,,,,,,,
