Div,Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time
primera,18/12/99,Real Madrid,Espanol,1.0,1.0,D,,,,,,,,,,,,,
primera,18/12/99,Valladolid,Alaves,0.0,1.0,A,,,,,,,,,,,,,
primera,19/12/99,Ath Bilbao,Zaragoza,2.0,2.0,D,,,,,,,,,,,,,
primera,19/12/99,Barcelona,Ath Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,19/12/99,Betis,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,19/12/99,Malaga,Sociedad,0.0,0.0,D,,,,,,,,,,,,,
primera,19/12/99,Numancia,Santander,1.0,0.0,H,,,,,,,,,,,,,
primera,19/12/99,Oviedo,Sevilla,1.0,1.0,D,,,,,,,,,,,,,
primera,19/12/99,Valencia,Vallecano,1.0,0.0,H,,,,,,,,,,,,,
primera,21/12/99,Alaves,Real Madrid,0.0,1.0,A,,,,,,,,,,,,,
primera,22/12/99,Ath Madrid,Oviedo,3.0,0.0,H,,,,,,,,,,,,,
primera,22/12/99,Betis,Valladolid,0.0,0.0,D,,,,,,,,,,,,,
primera,22/12/99,Celta,Malaga,1.0,1.0,D,,,,,,,,,,,,,
primera,22/12/99,Espanol,Numancia,0.0,1.0,A,,,,,,,,,,,,,
primera,22/12/99,Mallorca,Sevilla,0.0,0.0,D,,,,,,,,,,,,,
primera,22/12/99,Santander,Ath Bilbao,1.0,1.0,D,,,,,,,,,,,,,
primera,22/12/99,Sociedad,Valencia,0.0,0.0,D,,,,,,,,,,,,,
primera,22/12/99,Vallecano,Barcelona,1.0,0.0,H,,,,,,,,,,,,,
primera,22/12/99,Zaragoza,La Coruna,1.0,0.0,H,,,,,,,,,,,,,
primera,04/01/00,Valencia,Celta,1.0,0.0,H,,,,,,,,,,,,,
primera,05/01/00,Ath Bilbao,Espanol,1.0,1.0,D,,,,,,,,,,,,,
primera,05/01/00,Barcelona,Sociedad,2.0,0.0,H,,,,,,,,,,,,,
primera,05/01/00,La Coruna,Santander,0.0,1.0,A,,,,,,,,,,,,,
primera,05/01/00,Malaga,Zaragoza,0.0,0.0,D,,,,,,,,,,,,,
primera,05/01/00,Mallorca,Valladolid,0.0,0.0,D,,,,,,,,,,,,,
primera,05/01/00,Numancia,Alaves,0.0,0.0,D,,,,,,,,,,,,,
primera,05/01/00,Oviedo,Vallecano,1.0,0.0,H,,,,,,,,,,,,,
primera,05/01/00,Sevilla,Ath Madrid,2.0,0.0,H,,,,,,,,,,,,,
primera,08/01/00,Espanol,La Coruna,0.0,0.0,D,,,,,,,,,,,,,
primera,09/01/00,Alaves,Ath Bilbao,1.0,1.0,D,,,,,,,,,,,,,
primera,09/01/00,Ath Madrid,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,09/01/00,Betis,Numancia,1.0,0.0,H,,,,,,,,,,,,,
primera,09/01/00,Celta,Barcelona,0.0,1.0,A,,,,,,,,,,,,,
primera,09/01/00,Santander,Malaga,1.0,1.0,D,,,,,,,,,,,,,
primera,09/01/00,Sociedad,Oviedo,0.0,0.0,D,,,,,,,,,,,,,
primera,09/01/00,Vallecano,Sevilla,1.0,0.0,H,,,,,,,,,,,,,
primera,09/01/00,Zaragoza,Valencia,2.0,1.0,H,,,,,,,,,,,,,
primera,15/01/00,Vallecano,Ath Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,16/01/00,Alaves,La Coruna,1.0,0.0,H,,,,,,,,,,,,,
primera,16/01/00,Betis,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,16/01/00,Celta,Oviedo,4.0,2.0,H,,,,,,,,,,,,,
primera,16/01/00,Espanol,Malaga,0.0,0.0,D,,,,,,,,,,,,,
primera,16/01/00,Santander,Valencia,0.0,1.0,A,,,,,,,,,,,,,
primera,16/01/00,Sociedad,Sevilla,0.0,1.0,A,,,,,,,,,,,,,
primera,16/01/00,Valladolid,Numancia,0.0,0.0,D,,,,,,,,,,,,,
primera,16/01/00,Zaragoza,Barcelona,0.0,0.0,D,,,,,,,,,,,,,
primera,17/01/00,Real Madrid,Mallorca,0.0,1.0,A,,,,,,,,,,,,,
primera,22/01/00,La Coruna,Betis,1.0,0.0,H,,,,,,,,,,,,,
primera,23/01/00,Ath Bilbao,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,23/01/00,Ath Madrid,Sociedad,1.0,0.0,H,,,,,,,,,,,,,
primera,23/01/00,Barcelona,Santander,1.0,0.0,H,,,,,,,,,,,,,
primera,23/01/00,Malaga,Alaves,0.0,1.0,A,,,,,,,,,,,,,
primera,23/01/00,Mallorca,Vallecano,1.0,0.0,H,,,,,,,,,,,,,
primera,23/01/00,Numancia,Real Madrid,0.0,0.0,D,,,,,,,,,,,,,
primera,23/01/00,Oviedo,Zaragoza,0.0,0.0,D,,,,,,,,,,,,,
primera,23/01/00,Sevilla,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,23/01/00,Valencia,Espanol,1.0,1.0,D,,,,,,,,,,,,,
primera,26/01/00,Real Madrid,Betis,0.0,0.0,D,,,,,,,,,,,,,
primera,29/01/00,Celta,Ath Madrid,0.0,1.0,A,,,,,,,,,,,,,
primera,29/01/00,Espanol,Barcelona,1.0,1.0,D,,,,,,,,,,,,,
primera,30/01/00,Alaves,Valencia,0.0,0.0,D,,,,,,,,,,,,,
primera,30/01/00,Betis,Malaga,0.0,0.0,D,,,,,,,,,,,,,
primera,30/01/00,Numancia,Mallorca,3.0,1.0,H,,,,,,,,,,,,,
primera,30/01/00,Real Madrid,Ath Bilbao,1.0,1.0,D,,,,,,,,,,,,,
primera,30/01/00,Santander,Oviedo,2.0,0.0,H,,,,,,,,,,,,,
primera,30/01/00,Sociedad,Vallecano,2.0,0.0,H,,,,,,,,,,,,,
primera,30/01/00,Valladolid,La Coruna,1.0,0.0,H,,,,,,,,,,,,,
primera,30/01/00,Zaragoza,Sevilla,1.0,0.0,H,,,,,,,,,,,,,
primera,05/02/00,Valencia,Betis,1.0,0.0,H,,,,,,,,,,,,,
primera,06/02/00,Ath Bilbao,Numancia,1.0,1.0,D,,,,,,,,,,,,,
primera,06/02/00,Ath Madrid,Zaragoza,1.0,0.0,H,,,,,,,,,,,,,
primera,06/02/00,Barcelona,Alaves,0.0,1.0,A,,,,,,,,,,,,,
primera,06/02/00,La Coruna,Real Madrid,2.0,1.0,H,,,,,,,,,,,,,
primera,06/02/00,Malaga,Valladolid,0.0,0.0,D,,,,,,,,,,,,,
primera,06/02/00,Mallorca,Sociedad,1.0,0.0,H,,,,,,,,,,,,,
primera,06/02/00,Oviedo,Espanol,0.0,0.0,D,,,,,,,,,,,,,
primera,06/02/00,Sevilla,Santander,0.0,0.0,D,,,,,,,,,,,,,
primera,06/02/00,Vallecano,Celta,1.0,0.0,H,,,,,,,,,,,,,
primera,12/02/00,Ath Bilbao,Mallorca,0.0,1.0,A,,,,,,,,,,,,,
primera,12/02/00,Real Madrid,Malaga,0.0,0.0,D,,,,,,,,,,,,,
primera,12/02/00,Valladolid,Valencia,0.0,0.0,D,,,,,,,,,,,,,
primera,13/02/00,Alaves,Oviedo,1.0,0.0,H,,,,,,,,,,,,,
primera,13/02/00,Betis,Barcelona,1.0,0.0,H,,,,,,,,,,,,,
primera,13/02/00,Celta,Sociedad,0.0,1.0,A,,,,,,,,,,,,,
primera,13/02/00,Espanol,Sevilla,1.0,1.0,D,,,,,,,,,,,,,
primera,13/02/00,Numancia,La Coruna,0.0,0.0,D,,,,,,,,,,,,,
primera,13/02/00,Santander,Ath Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,13/02/00,Zaragoza,Vallecano,1.0,0.0,H,,,,,,,,,,,,,
primera,15/02/00,Valladolid,Real Madrid,0.0,0.0,D,,,,,,,,,,,,,
primera,19/02/00,La Coruna,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,20/02/00,Ath Madrid,Espanol,1.0,0.0,H,,,,,,,,,,,,,
primera,20/02/00,Barcelona,Valladolid,2.0,0.0,H,,,,,,,,,,,,,
primera,20/02/00,Malaga,Numancia,1.0,1.0,D,,,,,,,,,,,,,
primera,20/02/00,Mallorca,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,20/02/00,Oviedo,Betis,0.0,1.0,A,,,,,,,,,,,,,
primera,20/02/00,Sevilla,Alaves,1.0,1.0,D,,,,,,,,,,,,,
primera,20/02/00,Sociedad,Zaragoza,1.0,0.0,H,,,,,,,,,,,,,
primera,20/02/00,Valencia,Real Madrid,1.0,0.0,H,,,,,,,,,,,,,
primera,20/02/00,Vallecano,Santander,1.0,1.0,D,,,,,,,,,,,,,
primera,26/02/00,Numancia,Valencia,0.0,1.0,A,,,,,,,,,,,,,
primera,26/02/00,Real Madrid,Barcelona,2.0,0.0,H,,,,,,,,,,,,,
primera,27/02/00,Alaves,Ath Madrid,0.0,0.0,D,,,,,,,,,,,,,
primera,27/02/00,Ath Bilbao,Malaga,1.0,2.0,A,,,,,,,,,,,,,
primera,27/02/00,Betis,Sevilla,1.0,1.0,D,,,,,,,,,,,,,
primera,27/02/00,Espanol,Vallecano,2.0,1.0,H,,,,,,,,,,,,,
primera,27/02/00,La Coruna,Mallorca,1.0,0.0,H,,,,,,,,,,,,,
primera,27/02/00,Santander,Sociedad,0.0,0.0,D,,,,,,,,,,,,,
primera,27/02/00,Valladolid,Oviedo,1.0,0.0,H,,,,,,,,,,,,,
primera,27/02/00,Zaragoza,Celta,0.0,1.0,A,,,,,,,,,,,,,
primera,04/03/00,Barcelona,Numancia,1.0,0.0,H,,,,,,,,,,,,,
primera,04/03/00,Oviedo,Real Madrid,0.0,0.0,D,,,,,,,,,,,,,
