Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
12,Sun,2021-10-31,21:00 (20:00),Real Sociedad,1.1,1–1,1.0,Athletic Club,37066,Estadio Municipal de Anoeta,Juan Martínez,Match Report,
12,Mon,2021-11-01,18:30 (17:30),Rayo Vallecano,0.6,0–0,0.6,Celta Vigo,9580,Estadio del Rayo Vallecano,Adrián Cordero,Match Report,
12,Mon,2021-11-01,21:00 (20:00),Levante,1.1,0–3,1.0,Granada,14512,Estadio Ciudad de Valencia,José Sánchez,Match Report,
,,,,,,,,,,,,,
13,Fri,2021-11-05,21:00 (20:00),Athletic Club,0.5,0–1,0.5,Cádiz,37581,San Mamés,Santiago Jaime,Match Report,
13,Sat,2021-11-06,14:00 (13:00),Espanyol,1.6,2–0,2.0,Granada,19050,RCDE Stadium,Isidro Díaz de Mera,Match Report,
13,Sat,2021-11-06,16:15 (15:15),Celta Vigo,1.5,3–3,0.9,Barcelona,13146,Estadio de Balaídos,Alejandro Hernández,Match Report,
13,Sat,2021-11-06,18:30 (17:30),Alavés,1.5,2–1,0.8,Levante,12176,Estadio de Mendizorroza,Adrián Cordero,Match Report,
13,Sat,2021-11-06,21:00 (20:00),Real Madrid,2.1,2–1,1.4,Rayo Vallecano,43283,Estadio Santiago Bernabéu,Pablo González,Match Report,
13,Sun,2021-11-07,14:00 (13:00),Villarreal,1.4,1–0,0.2,Getafe,13504,Estadio de la Cerámica,Jesús Gil,Match Report,
13,Sun,2021-11-07,16:15 (15:15),Valencia,1.1,3–3,2.3,Atlético Madrid,37472,Estadio de Mestalla,César Soto,Match Report,
13,Sun,2021-11-07,18:30 (17:30),Osasuna,0.4,0–2,1.5,Real Sociedad,21741,Estadio El Sadar,Miguel Ángel Ortiz Arias,Match Report,
13,Sun,2021-11-07,18:30 (17:30),Mallorca,2.3,2–2,0.8,Elche,12933,Iberostar Estadi,Mario Melero,Match Report,
13,Sun,2021-11-07,21:00 (20:00),Betis,0.3,0–2,1.7,Sevilla,50534,Estadio Benito Villamarín,Antonio Matéu Lahoz,Match Report,
,,,,,,,,,,,,,
14,Fri,2021-11-19,21:00 (20:00),Levante,0.5,0–0,0.5,Athletic Club,15230,Estadio Ciudad de Valencia,José Luis Munuera,Match Report,
14,Sat,2021-11-20,14:00 (13:00),Celta Vigo,1.0,1–1,2.8,Villarreal,10086,Estadio de Balaídos,Alberola Rojas,Match Report,
14,Sat,2021-11-20,16:15 (15:15),Sevilla,1.8,2–2,1.1,Alavés,25208,Estadio Ramón Sánchez Pizjuán,Alejandro Muñíz,Match Report,
14,Sat,2021-11-20,18:30 (17:30),Atlético Madrid,1.0,1–0,0.5,Osasuna,53261,Estadio Wanda Metropolitano,José Sánchez,Match Report,
14,Sat,2021-11-20,21:00 (20:00),Barcelona,1.4,1–0,1.0,Espanyol,74418,Camp Nou,Carlos del Cerro,Match Report,
14,Sun,2021-11-21,14:00 (13:00),Getafe,1.2,4–0,0.4,Cádiz,8825,Coliseum Alfonso Pérez,Ricardo de Burgos,Match Report,
14,Sun,2021-11-21,16:15 (15:15),Granada,0.7,1–4,3.5,Real Madrid,17460,Estadio Nuevo Los Cármenes,Juan Martínez,Match Report,
14,Sun,2021-11-21,18:30 (17:30),Elche,0.8,0–3,1.9,Betis,16127,Estadio Manuel Martínez Valero,Valentín Pizarro,Match Report,
14,Sun,2021-11-21,21:00 (20:00),Real Sociedad,0.3,0–0,0.7,Valencia,28635,Estadio Municipal de Anoeta,Mario Melero,Match Report,
14,Mon,2021-11-22,21:00 (20:00),Rayo Vallecano,2.4,3–1,0.7,Mallorca,6708,Estadio del Rayo Vallecano,Jorge Figueroa,Match Report,
,,,,,,,,,,,,,
15,Fri,2021-11-26,21:00 (20:00),Athletic Club,1.1,2–2,1.1,Granada,32651,San Mamés,Adrián Cordero,Match Report,
15,Sat,2021-11-27,14:00 (13:00),Alavés,0.9,1–2,1.2,Celta Vigo,10093,Estadio de Mendizorroza,Pablo González,Match Report,
15,Sat,2021-11-27,16:15 (15:15),Valencia,1.6,1–1,1.2,Rayo Vallecano,30030,Estadio de Mestalla,Alejandro Hernández,Match Report,
15,Sat,2021-11-27,18:30 (17:30),Mallorca,0.4,0–0,0.8,Getafe,8635,Iberostar Estadi,Santiago Jaime,Match Report,
15,Sat,2021-11-27,21:00 (20:00),Villarreal,1.1,1–3,3.2,Barcelona,19050,Estadio de la Cerámica,César Soto,Match Report,
15,Sun,2021-11-28,14:00 (13:00),Betis,2.6,3–1,0.3,Levante,45012,Estadio Benito Villamarín,Miguel Ángel Ortiz Arias,Match Report,
15,Sun,2021-11-28,16:15 (15:15),Espanyol,0.4,1–0,1.7,Real Sociedad,19935,RCDE Stadium,Antonio Matéu Lahoz,Match Report,
15,Sun,2021-11-28,18:30 (17:30),Cádiz,1.0,1–4,3.8,Atlético Madrid,16861,Estadio Nuevo Mirandilla,Jesús Gil,Match Report,
15,Sun,2021-11-28,21:00 (20:00),Real Madrid,1.2,2–1,0.7,Sevilla,45281,Estadio Santiago Bernabéu,José Sánchez,Match Report,
15,Mon,2021-11-29,21:00 (20:00),Osasuna,1.8,1–1,1.4,Elche,16485,Estadio El Sadar,Isidro Díaz de Mera,Match Report,
,,,,,,,,,,,,,
9,Wed,2021-12-01,21:00 (20:00),Real Madrid,1.8,1–0,2.4,Athletic Club,33627,Estadio Santiago Bernabéu,Isidro Díaz de Mera,Match Report,
,,,,,,,,,,,,,
16,Fri,2021-12-03,21:00 (20:00),Granada,1.0,2–1,2.1,Alavés,13511,Estadio Nuevo Los Cármenes,Alberola Rojas,Match Report,
16,Sat,2021-12-04,14:00 (13:00),Sevilla,0.4,1–0,1.7,Villarreal,30865,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
16,Sat,2021-12-04,16:15 (15:15),Barcelona,1.0,0–1,0.6,Betis,66529,Camp Nou,Pablo González,Match Report,
16,Sat,2021-12-04,18:30 (17:30),Atlético Madrid,1.5,1–2,0.6,Mallorca,51009,Estadio Wanda Metropolitano,Juan Martínez,Match Report,
16,Sat,2021-12-04,21:00 (20:00),Real Sociedad,0.7,0–2,1.6,Real Madrid,35765,Estadio Municipal de Anoeta,Jesús Gil,Match Report,
16,Sun,2021-12-05,14:00 (13:00),Rayo Vallecano,0.4,1–0,0.6,Espanyol,8679,Estadio del Rayo Vallecano,José Luis Munuera,Match Report,
16,Sun,2021-12-05,16:15 (15:15),Elche,2.4,3–1,1.7,Cádiz,11879,Estadio Manuel Martínez Valero,Alejandro Muñíz,Match Report,
