date,home,away,venue,attendance,home_possiosson,away_possiosson,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_blocked,away_blocked,home_passing_percent,away_passing_percent,home_clear_cut_chances,away_clear_cut_chances,home_corners,away_corners,home_offsides,away_offsides,home_tackles_percent,away_tackles_percent,home_aerial_duels,away_aerial_duels,home_saves,away_saves,home_fouls_committed,away_fouls_committed,home_fouls_won,away_fouls_won,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
Friday 9th April,SD Huesca,Elche,El Alcoraz.,,33.3,66.7,8,8,5,2,1,3,2,3,73.3,89.0,0,1,6,6,1,0,52.4,80.0,45.8,54.2,2,2,17,13,12,16,2,2,0,0
Wednesday 7th April,Real Sociedad,Athletic Bilbao,Reale Seguros Stadium.,,51.1,48.9,12,11,2,2,10,7,0,2,80.7,78.3,1,1,3,6,0,3,66.7,66.7,58.8,41.2,1,2,18,7,7,18,3,1,0,0
Monday 5th April,Barcelona,Real Valladolid,Camp Nou.,,68.2,31.8,25,7,10,2,8,5,7,0,89.5,74.8,1,0,4,1,1,2,27.3,52.6,46.4,53.6,2,9,12,13,13,9,3,3,0,1
Sunday 4th April,Alaves,Celta Vigo,Mendizorroza.,,53.8,46.2,17,8,7,6,3,1,7,1,77.0,70.8,2,5,6,2,1,4,63.6,82.4,66.7,33.3,3,6,9,21,20,8,4,3,0,1
Sunday 4th April,Elche,Real Betis,Martinez Valero.,,46.4,53.6,7,13,3,3,0,7,4,3,80.8,84.2,1,2,7,2,1,2,41.7,53.3,33.3,66.7,2,2,9,15,14,9,1,4,0,0
Sunday 4th April,Cadiz,Valencia,Ramon de Carranza.,,32.5,67.5,6,11,2,6,4,4,0,1,66.4,84.6,1,2,4,13,0,2,43.8,68.8,58.6,41.4,5,0,10,7,6,9,2,2,0,0
Sunday 4th April,Sevilla,Atletico Madrid,Ramon Sanchez Pizjuan.,,56.6,43.4,18,9,5,4,8,2,5,3,85.0,79.5,1,1,3,2,2,3,66.7,76.9,46.9,53.1,4,4,13,11,11,11,2,4,0,0
Saturday 3rd April,Granada,Villarreal,Estadio Los Carmenes.,,44.4,55.6,6,15,2,6,3,5,1,4,77.5,82.8,1,3,3,5,3,0,71.4,68.4,48.0,52.0,2,2,14,14,14,11,2,2,0,0
Saturday 3rd April,Real Madrid,Eibar,Alfredo Di Stefano.,,63.7,36.3,21,11,8,4,6,6,7,1,87.9,74.9,2,0,6,9,4,0,50.0,28.6,55.9,44.1,4,6,6,8,8,6,0,2,0,0
Saturday 3rd April,Osasuna,Getafe,El Sadar.,,59.0,41.0,4,6,1,2,2,3,1,1,66.9,49.8,0,0,2,4,0,3,15.4,64.7,60.0,40.0,2,2,23,18,17,23,2,3,0,0
